input,given,family,orcid,name,identifier,department,degree,start,end
Jung Lee,Meng-Jung,Lee,0009-0004-5422-2466,,,,,,
Jung Lee,Jung-Hyung,Lee,0000-0002-3446-0019,,,,,,
Jung Lee,JUNG HEE,LEE,0009-0002-9329-2497,,,,,,
Jung Lee,Hyun Jung,Lee,0000-0002-8473-4989,,,,,,
Jung Lee,Jung Seok,Lee,0000-0002-4899-5145,,,,,,
Jung Lee,Hyun Jung,Lee,0009-0004-4307-631X,,,,,,
Jung Lee,Youn-Jung,Lee,0009-0003-1672-5479,,,,,,
Jung Lee,Yoo Jung,Lee,0009-0000-0683-9710,,,,,,
Jung Lee,Se Jung,Lee,0000-0003-3206-6082,Temple University,https://ror.org/00kx1jb78,,MD,2022,2026
Jung Lee,Se Jung,Lee,0000-0003-3206-6082,University of Southern California,https://ror.org/03taz7m60,,BS,2016,2020
Jung Lee,Jung-Moo,Lee,0000-0002-7798-8905,,,,,,
Jung Lee,In-Jung,Lee,0000-0001-7154-4820,,,,,,
Jung Lee,Jung-Eun,Lee,0000-0003-4775-7943,,,,,,
Jung Lee,Jea Jung,Lee,0009-0001-5937-9073,Yale University,https://ror.org/03v76x132,Electrical Engineering,Ph.D.,2021,
Jung Lee,Jea Jung,Lee,0009-0001-5937-9073,Kyung Hee University,https://ror.org/01zqcg218,Physics,M.S.,2019,2021
Jung Lee,Jea Jung,Lee,0009-0001-5937-9073,Kyung Hee University,https://ror.org/01zqcg218,Physics,B.S.,2016,2019
Jung Lee,Jung Hyuk,Lee,0000-0002-0840-3352,,,,,,
Jung Lee,Jung-Ah,Lee,0009-0003-1278-7912,Seoul National University of Science and Technology,https://ror.org/00chfja07,Architectural Engineering,M.S.,2021,2023
Jung Lee,Jung-Ah,Lee,0009-0003-1278-7912,Seoul National University of Science and Technology,https://ror.org/00chfja07,Architectural Engineering,B.S.,2016,2021
Jung Lee,Jung-Kul,Lee,0000-0001-7384-5301,,,,,,
Jung Lee,Jung Woo,Lee,0000-0003-4705-9248,,,,,,
Jung Lee,hyun jung,lee,0000-0003-2764-9339,,,,,,
Jung Lee,Jung Ah,Lee,0000-0003-4989-9670,,,,,,
Jung Lee,Jung Wook,Lee,0000-0002-8461-4741,Sungkyunkwan University,https://ror.org/04q78tk20,,,,
Jung Lee,Jung Min,Lee,0000-0001-9838-0424,,,,,,
Jung Lee,Hee Jung,Lee,0000-0002-8663-8624,,,,,,
Jung Lee,Jung Hoon,Lee,0000-0002-3592-0566,,,,,,
Jung Lee,Jung-Man,Lee,0000-0002-7115-2939,,,,,,
Jung Lee,Jung Yeon,Lee,0000-0001-6162-5571,,,,,,
Jung Lee,Jung-Il,Lee,0000-0001-8143-5513,,,,,,
Jung Lee,Da Jung,Lee,0009-0009-2172-3543,,,,,,
Jung Lee,JUNG RO,LEE,0000-0002-9596-3330,,,,,,
Jung Lee,Jung Sick,Lee,0000-0001-6292-328X,,,,,,
Jung Lee,JUNG EUN,LEE,0009-0009-7608-0709,,,,,,
Jung Lee,Min Jung,Lee,0009-0005-0384-6719,Ewha Womans University,https://ror.org/053fp5c05,Fashion design,Doctor of Literature,2004,2011
Jung Lee,Jung Eun,Lee,0000-0002-1195-3427,University of Washington,https://ror.org/00cvxb145,School of Nursing,PhD,,2016
Jung Lee,Jung Eun,Lee,0000-0002-1195-3427,Yonsei University,https://ror.org/01wjejq96,College of Nursing,MSN,,2009
Jung Lee,Jung Eun,Lee,0000-0002-1195-3427,Yonsei University,https://ror.org/01wjejq96,College of Nursing,BSN,,2004
Jung Lee,Jung-Hoon,Lee,0000-0002-3306-8728,,,,,,
Jung Lee,Jung Eun,Lee,0000-0002-8401-2839,,,,,,
Jung Lee,JUNG SU,LEE,0009-0005-3556-0029,,,,,,
Jung Lee,Jung A,LEE,0000-0001-6056-2660,,,,,,
Jung Lee,Jung Wan,Lee,0000-0002-8885-6385,,,,,,
Jung Lee,Eun Jung,Lee,0009-0000-3829-0371,,,,,,
Jung Lee,Jung Hee ,Lee,0009-0005-2831-0515,,,,,,
Jung Lee,Jung Young,Lee,0000-0002-6387-6785,The Catholic University of Korea,26713,pathology,"M.D./professor, emeritus professor",1977,2018
Jung Lee,Jung-Hun,Lee,0000-0002-4016-1787,Sungkyunkwan University - Suwon Campus,65666,Advanced Materials Science and Engineering,Doctorate degree,2011,2018
Jung Lee,So Jung,Lee,0000-0001-8253-1953,,,,,,
Jung Lee,Jung-Hyun,Lee,0000-0002-9662-1703,Georgia Institute of Technology,https://ror.org/01zkghx44,Chemical & Biomolecular Engineering,PhD,2006,2010
Jung Lee,Jung-Hyun,Lee,0000-0002-9662-1703,Korea University,https://ror.org/047dqcg40,Chemical Engineering,MS,1999,2001
Jung Lee,Jung-Hyun,Lee,0000-0002-9662-1703,Korea University,https://ror.org/047dqcg40,Chemical Engineering,BS,1995,1999
Jung Lee,Jung Bok,Lee,0000-0001-9227-2027,,,,,,
Jung Lee,Jung Su,Lee,0009-0004-6822-4569,,,,,,
Jung Lee,Yu Jung,Lee,0000-0003-3442-4816,,,,,,
Jung Lee,Jung Min,Lee,0000-0002-5341-8529,,,,,,
Jung Lee,JUNG HOO,LEE,0009-0008-8934-442X,,,,,,
Jung Lee,Jung Woo,Lee,0000-0002-4576-8705,,,,,,
Jung Lee,Meng-Jung,Lee,0000-0002-3277-6116,,,,,,
Jung Lee,Jung-Hyun,Lee,0000-0003-0787-2592,,,,,,
Jung Lee,Jung-In,Lee,0009-0006-3464-5458,,,,,,
Jung Lee,JUNG OH,LEE ,0009-0005-6502-8164,,,,,,
Jung Lee,Eun Jung,Lee,0000-0001-5145-4449,,,,,,
Jung Lee,Chia-Jung,Lee,0000-0003-1873-7230,,,,,,
Jung Lee,Jung-Rok,Lee,0000-0002-3518-3965,Stanford University,6429,Mechanical Engineering,MS,,
Jung Lee,Jung-Rok,Lee,0000-0002-3518-3965,Stanford University,6429,Mechanical Engineering,PhD,,
Jung Lee,Jung Hyun,Lee,0000-0002-9347-7232,,,,,,
Jung Lee,Hyun-Jung,Lee,0000-0001-9304-6021,,,,,,
Jung Lee,Yun Jung,Lee,0000-0001-5415-5735,,,,,,
Jung Lee,Jung Hyun,Lee,0000-0001-5767-1444,,,,,,
Jung Lee,Jung Moo ,Lee,0000-0001-5245-7799,,,,,,
Jung Lee,JUNG AE,LEE,0000-0001-7286-3890,,,,,,
Jung Lee,Jung Yeon,Lee,0009-0006-9823-6979,,,,,,
Jung Lee,Jung Woo,Lee,0000-0003-1509-6909,Korea University,34973,Home Economics,Doctor,2014,2020
Jung Lee,Jung Woo,Lee,0000-0003-1509-6909,Korea University,34973,Education of Home Economics,Master,2011,2013
Jung Lee,Jung Woo,Lee,0000-0003-1509-6909,Chung-Ang University,grid.254224.7,Food and Nutrtion,Bachelor,1991,1995
Jung Lee,Jung A,Lee,0009-0001-6753-1477,,,,,,
Jung Lee,Hye Jung,Lee,0000-0002-6046-5120,,,,,,
Jung Lee,Jung Myung,Lee,0000-0002-1904-5335,Kyung Hee University School of Medicine,89318,cardiology,PhD,2016,2018
Jung Lee,Jung Myung,Lee,0000-0002-1904-5335,Yonsei University College of Medicine,37991,internal medicine,Master,2006,2008
Jung Lee,Jung Myung,Lee,0000-0002-1904-5335,Yonsei University College of Medicine,37991,medicine,MD,1998,2004
Jung Lee,Jung Yeon,Lee,0000-0001-7011-620X,Konkuk University Chungju Hospital,58932,"Department of Internal Medicine, Division of Pulmonar and Critical Care Medicine",M.D.,,
Jung Lee,Jung Hwa,Lee,0000-0002-4464-3521,Ewha Womans university School of Medicine and Ewha Medical Research institute ,26717,Neurology ,Doctor degree/ MD PhD,1997,2020
Jung Lee,Jung soo,Lee,0000-0003-2770-0528,,,,,,
Jung Lee,Hyun-Jung,Lee,0000-0002-7498-0705,Seoul National University College of Medicine,37990,Internal Medicine,PhD,2019,2022
Jung Lee,Hyun-Jung,Lee,0000-0002-7498-0705,Seoul National University College of Medicine,37990,,MS,2016,2018
Jung Lee,Hyun-Jung,Lee,0000-0002-7498-0705,Seoul National University College of Medicine,37990,,MD,2005,2012
Jung Lee,Yoon Jung,Lee,0009-0004-8781-6631,,,,,,
Jung Lee,Jung-Woo,Lee,0009-0005-8274-9262,,,,,,
Jung Lee,Jung-Bum,Lee,0000-0002-8732-7457,,,,,,
Jung Lee,Jung-soo,Lee,0000-0001-9281-7111,,,,,,
Jung Lee,Jung Young,Lee,0000-0003-3112-0366,Michigan State University,3078,Supply Chain Management,Ph.D.,,
Jung Lee,Sue Jung,Lee,0009-0007-8275-7902,,,,,,
Jung Lee,Yi-Jung,Lee,0000-0002-9492-6714,,,,,,
Jung Lee,JUNG MIN,LEE,0009-0001-5275-3587,,,,,,
Jung Lee,Jung-Won,Lee,0000-0003-2443-7074,,,,,,
Jung Lee,Jung-Hee,Lee,0000-0002-6889-9126,"Catholic University, College of Medi",26713,Department of Biochemistry,Ph D,2002,2005
Jung Lee,Jung-Hee,Lee,0000-0002-6889-9126,Chung-Ang University,grid.254224.7,Department of Biology,MS,1998,2000
Jung Lee,Jung-Hee,Lee,0000-0002-6889-9126,Chung-Ang University,grid.254224.7,Department of Biology,BS,1994,1998
Jung Lee,Jung-sug,Lee,0000-0001-8738-6409,,,,,,
Jung Lee,Jung Hun,Lee,0000-0002-8001-2671,,,,,,
Jung Lee,Mi Jung,Lee,0000-0003-1194-5918,École Nationale Supérieure des Mines,52869,Geochimie,PhD.,1996,2002
Jung Lee,Jung-Kyu,Lee,0000-0002-0023-1883,,,,,,
Jung Lee,MIN JUNG,LEE,0009-0007-8293-2256,,,,,,
Jung Lee,Chang-Jung,Lee,0009-0008-9841-1874,,,,,,
Jung Lee,Jung-Ting,Lee,0000-0002-8638-2235,,,,,,
Jung Lee,Tae-Jung,Lee,0000-0002-4175-770X,,,,,,
Jung Lee,Min Jung,Lee,0000-0001-8293-3418,Sungkyunkwan University School of Medicine,35019,"Department of Medicine, Behavioral Neurogenetics ",Ph.D. ,2013,2018
Jung Lee,Min Jung,Lee,0000-0001-8293-3418,Korea Foundation for Max Planck POSTECH,https://ror.org/04hmt0j25,"Life Science, Cancer biology",M.S.,2004,2006
Jung Lee,Min Jung,Lee,0000-0001-8293-3418,Korea University,https://ror.org/047dqcg40,Life Science ,B.S.,2000,2004
Jung Lee,Han-Jung,Lee,0000-0001-8990-5743,,,,,,
Jung Lee,Jung Woo,Lee,0000-0002-1276-330X,,,,,,
Jung Lee,Woo jung,Lee,0000-0001-9273-261X,,,,,,
Jung Lee,Jung-Soon,Lee,0000-0002-9343-2085,,,,,,
Jung Lee,Jung-Woo,Lee,0000-0001-7205-8525,,,,,,
Jung Lee,Hyun Jung,Lee,0000-0002-3942-405X,,,,,,
Jung Lee,Min Jung,Lee,0000-0001-9090-5863,,,,,,
Jung Lee,jung-hwa,lee,0000-0003-2487-0513,,,,,,
Jung Lee,Jung Min,Lee,0009-0009-7606-0273,,,,,,
Jung Lee,hyun jung,Lee,0009-0009-6939-5286,,,,,,
Jung Lee,Jung-Jae,Lee,0000-0003-1685-2569,University of Notre Dame,6111,Chemistry and Biochemistry,Ph.D.,2003,2009
Jung Lee,Sun Jung,Lee,0009-0006-7446-9743,,,,,,
Jung Lee,Eui Jung,Lee,0000-0001-8065-2014,Seoul National University College of Medicine,37990,,,,2002
Jung Lee,Jung Eun,Lee,0009-0008-6308-5765,,,,,,
Jung Lee,Jung Weol,Lee,0009-0008-3962-495X,,,,,,
Jung Lee,Eun Jung,Lee,0000-0002-2911-1818,,,,,,
Jung Lee,JUNG YUN,LEE,0009-0007-7040-400X,,,,,,
Jung Lee,Jung Kwon,Lee,0000-0003-0940-2930,Gangneung-Wonju National University,34961,Marine Biotechnology,PhD,2010,2014
Jung Lee,Hyeun Jung,Lee,0000-0001-7319-6874,,,,,,
Jung Lee,Jung jun,Lee,0009-0001-5808-4927,,,,,,
Jung Lee,Jung-Woo,Lee,0000-0001-9902-347X,,,,,,
Jung Lee,Min-Jung,Lee,0000-0003-3943-8133,,,,,,
Jung Lee,Jung Keun,Lee,0000-0002-3165-3675,,,,,,
Jung Lee,Min Jung,Lee,0000-0002-5488-7626,,,,,,
Jung Lee,Hyo-Jung,Lee,0009-0009-1936-457X,,,,,,
Jung Lee,Jung Lee,Lee,0009-0006-4265-8128,,,,,,
Jung Lee,Hyun Jung,Lee,0000-0003-3516-9933,Friedrich-Alexander-Universität Erlangen-Nürnberg,http://dx.doi.org/10.13039/501100001652,Public Law,Ph.d,2016,2021
Jung Lee,Hyun Jung,Lee,0000-0003-3516-9933,Friedrich-Alexander-Universität Erlangen-Nürnberg,http://dx.doi.org/10.13039/501100001652,Human Rights,M.A. Human Rights Law,2015,2017
Jung Lee,Hyun Jung,Lee,0000-0003-3516-9933,Hankuk University of Foreign Studies,34948,Law School,Special Master's Degree in Law,2010,2013
Jung Lee,Hyun Jung,Lee,0000-0003-3516-9933,Hankuk University of Foreign Studies,34948,English Education,Bachelor's Degree ,1995,2000
Jung Lee,jung eun,Lee,0009-0004-3542-6949,Kangwon National University,https://ror.org/01mh5ph17,,,,
Jung Lee,Mi Jung,Lee,0000-0002-2753-8105,,,,,,
Jung Lee,Su Jung,Lee,0009-0001-9360-6372,,,,,,
Jung Lee,Jung-Shun ,Lee,0000-0003-4268-2161,,,,,,
Jung Lee,Hyun Jung,Lee,0000-0002-2995-6060,,,,,,
Jung Lee,Chia-Jung,Lee,0000-0003-2280-0116,,,,,,
Jung Lee,Jung Won,Lee,0000-0001-6531-253X,,,,,,
Jung Lee,Jung min,Lee,0000-0002-8249-2920,,,,,,
Jung Lee,Jung-Joo,Lee,0000-0002-7414-1936,,,,,,
Jung Lee,Jung Hwan ,Lee,0000-0001-7567-0664,,,,,,
Jung Lee,Jung hyo,Lee,0009-0002-3918-011X,,,,,,
Jung Lee,Jung Seok,Lee,0009-0000-7297-0936,Korea Advanced Institute of Science and Technology,https://ror.org/05apxxy63,Department of Chemistry,phD,2020,
Jung Lee,Jung-Seok,Lee,0000-0003-1276-5978,Yonsei University College of Dentistry,65513,,,,
Jung Lee,Jung-San,Lee,0000-0001-7030-2985,,,,,,
Jung Lee,JUNG-HOON,LEE,0000-0003-3229-6427,Seoul National University,26725,Chemistry,Ph.D,2010,2014
Jung Lee,JUNG-HOON,LEE,0000-0003-3229-6427,Catholic University of Korea,26713,Chemistry,M.Sc.,2006,2008
Jung Lee,JUNG-HOON,LEE,0000-0003-3229-6427,Catholic University of Korea,26713,Chemistry,B.Sc.,1998,2006
Jung Lee,Jung-Youn,Lee,0000-0003-4604-7974,University of Florida,3463,Plant Molecular and Cell Biology Program,PhD,1992,1997
Jung Lee,Jung-Youn,Lee,0000-0003-4604-7974,Korea University,34973,,BAg,1986,1990
Jung Lee,Hyun Jung,Lee,0009-0001-0910-3503,,,,,,
Jung Lee,So Jung,Lee,0009-0004-6516-5997,,,,,,
Jung Lee,Jung-Yong,Lee,0000-0002-5347-8230,,,,,,
Jung Lee,Yoon Jung ,Lee ,0000-0002-9063-6971,,,,,,
Jung Lee,TSUNG JUNG,LEE,0009-0008-3974-1195,,,,,,
Jung Lee,JUNG OK,LEE,0000-0002-0048-5322,,,,,,
Jung Lee,Hyun Jung,Lee,0009-0005-9845-0564,,,,,,
Jung Lee,Jung Sub,Lee,0000-0002-2742-1601,,,,,,
Jung Lee,Ho Jung,Lee,0009-0008-3122-8493,,,,,,
Jung Lee,Jung Eun,Lee,0009-0005-5758-1875,,,,,,
Jung Lee,Mee-Jung,Lee,0000-0001-7526-9088,,,,,,
Jung Lee,Jung Hun,Lee,0000-0002-4799-6277,,,,,,
Jung Lee,Jung-Yun,Lee,0000-0003-3931-8174,,,,,,
Jung Lee,Hyun-Jung,Lee,0009-0006-4114-0386,,,,,,
Jung Lee,Jung Min,Lee,0000-0003-0924-4215,,,,,,
Jung Lee,Su-Jung,Lee,0000-0001-5346-9126,,,,,,
Jung Lee,Jung Yeon,Lee,0009-0005-9052-5912,,,,,,
Jung Lee,Jung Hee,Lee,0000-0001-8482-1065,Kyung Hee University,https://ror.org/01zqcg218,Korean Language and Literature,Ph.D,1997,2002
Jung Lee,Jung Hee,Lee,0000-0001-8482-1065,Kyung Hee University,https://ror.org/01zqcg218,Korean Language and Literature Education,M.A,1994,1997
Jung Lee,Jung Hee,Lee,0000-0001-8482-1065,Kyung Hee University,https://ror.org/01zqcg218,Korean Language and Literature,B.A,1990,1994
Jung Lee,Jung Tae,Lee,0000-0002-2228-1849,Georgia Institute of Technology,1372,Materials Science and Engineering,PH.D,2010,2014
Jung Lee,Jung Tae,Lee,0000-0002-2228-1849,Seoul National University,26725,Materials Science and Engineering,M.S,2008,2010
Jung Lee,Jung Tae,Lee,0000-0002-2228-1849,Kyung Hee University - Global Campus,34983,Food Science and Biotechnology,,2001,2008
Jung Lee,Jung-Min,Lee,0009-0007-6589-5051,,,,,,
Jung Lee,Yun Jung,Lee,0000-0001-8112-1629,,,,,,
Jung Lee,Jung Hyun,Lee,0000-0001-5082-1075,,,,,,
Jung Lee,Jung Keun,Lee,0000-0003-0288-157X,,,,,,
Jung Lee,Jung-Hee,Lee,0000-0002-1755-526X,"Graduate School, College of Medicine, Kyung Hee University",36647,Orthopedic Surgery,Professor,2006,
Jung Lee,Jung Hyun,Lee,0000-0002-1849-733X,,,,,,
Jung Lee,Jung-Min,Lee,0000-0003-2603-4789,Seoul National University,https://ror.org/04h9pn542,School of Biological Sciences,M.S.-Ph.D. student,2021,
Jung Lee,Jung-Min,Lee,0000-0003-2603-4789,Daegu Gyeongbuk Institute of Science and Technology,https://ror.org/03frjya69,College of Basic Science,B.S.,2016,2020
Jung Lee,Tai-Jung,Lee,0009-0007-5610-9071,,,,,,
Jung Lee,Jung-Yup,Lee,0000-0002-0823-4245,,,,,,
Jung Lee,Ryun Jung,Lee,0000-0002-6746-7890,,,,,,
Jung Lee,Jia-Jung,Lee,0000-0002-7951-9571,Kaohsiung Medical University,38023,"Ph.D. Program in Translational Medicine, Kaohsiung Medical University and Academia Sinica",Ph.D.,2013,2019
Jung Lee,Jia-Jung,Lee,0000-0002-7951-9571,Kaohsiung Medical University,38023,,M.D.,1990,1997
Jung Lee,Jung-Tae,Lee,0000-0001-5383-3004,Chonnam National University School of Dentistry,163723,Dentistry,Master,2006,2010
Jung Lee,Hyun Jung,Lee,0000-0002-6891-8008,,,,,,
Jung Lee,WON JUNG,LEE,0009-0005-4030-0096,,,,,,
Jung Lee,Hyun Jung,Lee,0000-0003-0202-587X,,,,,,
Jung Lee,Yueh-Jung,Lee,0000-0003-2288-5316,The University of Texas at Dallas,https://ror.org/049emcs32,"Arts, Technology, and Emerging Communication",PhD,2020,
Jung Lee,Yueh-Jung,Lee,0000-0003-2288-5316,Arizona State University,https://ror.org/03efmqc40,Communication Studies,Master of Arts (M.A.),2018,2020
Jung Lee,Yueh-Jung,Lee,0000-0003-2288-5316,Tunghai University,https://ror.org/00zhvdn11,Industrial Design,Master of Design (M.Des.),2009,2013
Jung Lee,Yueh-Jung,Lee,0000-0003-2288-5316,Tunghai University,https://ror.org/00zhvdn11,Industrial Design,Bachelor of Science (B.S.),2004,2009
Jung Lee,Jung-Kyu,Lee,0000-0003-3120-8536,,,,,,
Jung Lee,Jung Min,Lee,0000-0001-5835-0343,,,,,,
Jung Lee,Hyang-Jung,Lee,0000-0001-8248-7649,,,,,,
Jung Lee,Jung-Hyun,Lee,0009-0009-6916-1113,,,,,,
Jung Lee,Jung-Il,Lee,0000-0002-1110-5030,Korea University,34973,College of Medicine,Ph.D,,
Jung Lee,Jung Hoon,Lee,0000-0002-7875-2398,,,,,,
Jung Lee,Jung Heon,Lee,0000-0003-4790-3525,University of Illinois at Urbana-Champaign,14589,Materials Science and Engineering,Ph.D,2003,2008
Jung Lee,Jung Heon,Lee,0000-0003-4790-3525,Seoul National University,26725,Materials Science and Engineering,MS,2001,2003
Jung Lee,Jung Heon,Lee,0000-0003-4790-3525,Yonsei University,26721,Materials Science and Engineering,BS,1994,2000
Jung Lee,Jung Taek,Lee,0009-0007-1080-1150,,,,,,
Jung Lee,Ting-Jung,Lee,0009-0002-7249-5455,,,,,,
Jung Lee,Jung Hie,Lee,0000-0002-1471-2602,Seoul National University Hospital,58927,Psychiatry,MD,1981,1984
Jung Lee,Jung-Been,Lee,0000-0002-8208-0387,,,,,,
Jung Lee,Jung-Shin,Lee,0000-0002-9126-5463,Seoul National University,26725,Bioscience,Ph D,1999,2003
Jung Lee,Jung-Shin,Lee,0000-0002-9126-5463,Seoul National University,26725,Microbiology,MS,1997,1999
Jung Lee,Jung-Shin,Lee,0000-0002-9126-5463,Seoul National University,26725,Microbiology,BS,1993,1997
Jung Lee,Jung Ho,Lee,0000-0002-7329-2273,,,,,,
Jung Lee,Jung-me,Lee,0009-0004-6517-7111,,,,,,
Jung Lee,Jung Yeon,Lee,0000-0001-7627-4372,Stony Brook University,12301,Applied Mathematics and Statistics,Ph.D.,2004,2008
Jung Lee,Jung Kyoo,Lee,0000-0003-1673-7587,Seoul National University,https://ror.org/04h9pn542,Chemical Engineering,PhD,,
Jung Lee,Eun Jung,Lee,0000-0002-0454-4510,Linkopings universitet Medicinska biblioteket,545395,Systems Medicine,Postdoc,2018,2020
Jung Lee,Eun Jung,Lee,0000-0002-0454-4510,Yonsei University College of Medicine,37991,Medicine,Doctor ,2012,2016
Jung Lee,Eun Jung,Lee,0000-0002-0454-4510,Yonsei University,26721,Medicine,Bachelor ,2006,2010
Jung Lee,Eun Jung,Lee,0000-0002-0454-4510,Yonsei University,26721,Chemistry ,Bachelor,2002,2006
Jung Lee,Jung Hwan,Lee,0000-0002-0040-7236,,,,,,
Jung Lee,Yong Jung,Lee,0000-0001-6908-0668,,,,,,
Jung Lee,SOO JUNG,LEE,0000-0003-0066-4109,,,,,,
Jung Lee,Jung Eun,Lee,0000-0002-4387-5291,,,,,,
Jung Lee,Jung-Kyu,Lee,0000-0001-5060-7255,,,,,,
Jung Lee,Yun Jung,Lee,0000-0003-3091-1174,,,,,,
Jung Lee,Jung-sup,Lee,0009-0008-6563-991X,,,,,,
Jung Lee,Yeon Jung,Lee,0000-0001-8953-5893,Soonchunhyang University,37969,Psychiatry,Ph.D/MD,,
Jung Lee,Jung-Kil,Lee,0000-0002-9143-4917,Chonnam National University Medical School,65417,neurosurgery,Ph.D,1992,
Jung Lee,So Jung,Lee,0009-0000-5662-5585,,,,,,
Jung Lee,JUNG IL,LEE,0000-0002-0142-1398,,,,,,
Jung Lee,Jung Hwan,Lee,0000-0002-4100-2315,Chonnam National University,https://ror.org/05kzjxq56,Electrical engineering,Ph.D,2015,2018
Jung Lee,Jung Ick ,LEE,0000-0003-0736-167X,,,,,,
Jung Lee,Un Jung,Lee,0000-0002-6097-6414,,,,,,
Jung Lee,Jung-Soo,Lee,0000-0002-7972-4743,,,,,,
Jung Lee,Seung Jung,Lee,0000-0002-5926-9237,,,,,,
Jung Lee,Jung Hee,Lee,0000-0003-3003-2217,,,,,,
Jung Lee,Jung-Kun,Lee,0000-0002-7778-7679,,,,,,
Jung Lee,Jung Sim,Lee,0000-0003-2815-6464,,,,,,
Jung Lee,Jung Lim,Lee,0000-0001-9464-383X,Seoul National University,26725,college of nursing,PhD,2009,2013
Jung Lee,EUN JUNG,LEE,0000-0002-2688-7004,,,,,,
Jung Lee,Jung Woo,Lee,0000-0003-2989-4952,Catholic University of Korea School of Medicine,37128,Department of Orthopedic Surgery,Ph.D.,2014,2018
Jung Lee,Jung Woo,Lee,0000-0003-2989-4952,Yonsei University Wonju College of Medicine,37974,Medicine,M.D.,2001,2008
Jung Lee,Jung Ho,Lee,0000-0002-3800-5494,,,,,,
Jung Lee,Hyun Jung,Lee,0000-0002-9941-9826,,,,,,
Jung Lee,Eun Jung,Lee,0000-0002-4248-8193,Korea University,grid.222754.4,Department of Chemical and Biological Engineering,Ph.D.,2007,2014
Jung Lee,Eun Jung,Lee,0000-0002-4248-8193,Korea University,grid.222754.4,Department of Chemical and Biological Engineering,B.S.,2003,2007
Jung Lee,Hwa Jung,Lee,0000-0003-0343-4392,,,,,,
Jung Lee,Eun-Jung,Lee,0000-0002-3177-1487,Yonsei University,https://ror.org/01wjejq96,,,,
Jung Lee,Kuo-Jung,Lee,0000-0003-3494-2664,,,,,,
Jung Lee,jung hoon,lee,0009-0009-6686-4905,,,,,,
Jung Lee,Jung Jae,Lee,0000-0002-0828-3557,Kyungpook National University,34986,psychiatry,PhD,2007,2013
Jung Lee,Jung-Hyun,Lee,0000-0001-7751-792X,,,,,,
Jung Lee,Jung Hyub,Lee,0009-0001-0043-0524,The University of Texas at Austin,https://ror.org/00hj54h04,Economics,Ph.D. in Economics,2008,2024
Jung Lee,Jung Wun,Lee,0000-0002-6683-1822,,,,,,
Jung Lee,Jung-A,Lee,0009-0005-6282-8633,,,,,,
Jung Lee,Jung-Ah,Lee,0000-0003-0678-5956,University of Washington,7284,Biobehavioral Nursing and Health Systems,PhD,2002,2008
Jung Lee,Jung Chan,Lee,0000-0002-4546-0962,Seoul National University Graduate School,26725,Interdisciplinary Program of Medical and Biological Engineering,Ph.D in Engieering,2001,2008
Jung Lee,Jung Chan,Lee,0000-0002-4546-0962,Seoul National University College of Engineering,92202,School of Mechanical and Aerospace Engineering,Bachelor of Engineering,1997,2001
Jung Lee,Su Jung,Lee,0000-0001-9495-8014,Catholic University of Korea - Songeui Campus,303255,,,2014,2017
Jung Lee,Jung Hyun,Lee,0000-0001-7116-3665,Georgia Institute of Technology,https://ror.org/01zkghx44,Building Construction ,Ph.D.,2018,2022
Jung Lee,HYUN JUNG,LEE,0000-0002-0121-6327,,,,,,
Jung Lee,Jung-Ryul,Lee,0000-0003-0742-4722,,,,,,
Jung Lee,Wu-Jung,Lee,0000-0002-4112-2034,MIT-WHOI (Massachusetts Institute of Technology - Woods Hole Oceanographic Institution) Joint Program in Oceanography,2167,,,,
Jung Lee,Jung Soo,Lee,0000-0001-5144-4179,,,,,,
Jung Lee,Jung-Lim,Lee,0009-0008-8515-360X,,,,,,
Jung Lee,Zne-Jung,Lee,0000-0002-8791-9276,,,,,,
Jung Lee,Jung Eun,Lee,0000-0003-1141-878X,,,,,,
Jung Lee,Eun Jung ,Lee,0009-0001-7004-1452,,,,,,
Jung Lee,Min Jung,Lee,0000-0003-2195-8667,,,,,,
Jung Lee,Jung Hoon,Lee,0000-0002-4274-2884,,,,,,
Jung Lee,Eun-Jung,Lee,0000-0002-9005-5886,Seoul National University,26725,Fashion Marketing,Ph.D.,2000,2006
Jung Lee,Eun-Jung,Lee,0000-0002-9005-5886,Seoul National University,26725,Fashion Marketing,M.A.,1997,1999
Jung Lee,Eun-Jung,Lee,0000-0002-9005-5886,Seoul National University,,"Department of Textiles, Merchandising and Fashion Design",B.A.,1993,1997
Jung Lee,Jung Youn,Lee,0000-0002-6878-9832,,,,,,
Jung Lee,Jung Hun,Lee,0000-0001-5504-4033,,,,,,
Jung Lee,Je-Jung,Lee,0000-0002-4635-5697,,,,,,
Jung Lee,Woo-Jung,Lee,0000-0003-3116-0472,,,,,,
Jung Lee,Tai Jung,Lee,0000-0003-4934-8430,,,,,,
Jung Lee,Jung Tae,Lee,0000-0001-6394-5325,,,,,,
Jung Lee,Il Jung,Lee,0009-0008-4802-5369,,,,,,
Jung Lee,EUN JUNG,LEE,0009-0005-5243-2707,,,,,,
Jung Lee,Jung-Soo,Lee,0000-0001-9162-1985,,,,,,
Jung Lee,Yun Jung,Lee,0000-0002-9347-8606,,,,,,
Jung Lee,Jung-Kyoung,Lee,0000-0001-9910-7729,,,,,,
Jung Lee,Jung Eun,Lee,0000-0001-9209-5753,,,,,,
Jung Lee,Jung Seung,Lee,0000-0002-7722-0461,Yonsei University,26721,Biotechnology,Ph.D.,2011,2017
