input,given,family,orcid,other-names,employment,education,works,peer-reviews,funding,emails,other_names,Total,journal
Jung Lee,Pei-Jung,Lee,0009-0005-3644-3713,0,0,1,0,0,0,,,0,
Jung Lee,Woo-Jung,Lee,0009-0009-5734-8810,0,0,0,0,0,0,,,0,
Jung Lee,Jae Jung,Lee,0000-0003-1924-9482,0,1,0,5,0,0,,,6,Clinical Ophthalmology
Jung Lee,Jung Youb,Lee,0009-0002-6256-6205,0,0,0,2,0,0,,,2,Annals of Occupational and Environmental Medicine
Jung Lee,Jung-Sook,Lee,0000-0002-5330-6594,0,1,2,1,0,0,,,2,International Journal of Advertising
Jung Lee,Jung-Hoon,Lee,0000-0003-3683-9468,0,0,0,6,0,0,,,6,Seminars in cancer biology
Jung Lee,Jung Ho,Lee,0000-0001-6850-7973,0,0,0,1,0,0,,,1,Journal of Korean Medical Science
Jung Lee,Jung Geun,Lee,0000-0003-0139-3697,0,1,0,1,0,1,,,3,Alternative therapies in health and medicine
Jung Lee,Jung Il,Lee,0000-0002-0719-312X,0,0,0,0,0,0,,,0,
Jung Lee,min jung,Lee,0009-0004-4261-3259,0,1,0,0,0,0,,,1,
Jung Lee,Ho Jung,Lee,0000-0002-8787-7950,0,0,0,0,0,0,,,0,
Jung Lee,Hye Jung,Lee,0009-0003-0987-8792,0,1,0,0,0,0,,,1,
Jung Lee,Soo Jung,Lee,0000-0002-1476-6221,0,0,0,0,0,0,,,0,
Jung Lee,Jung Ho,Lee,0009-0000-6672-6291,0,0,0,0,0,0,,,0,
Jung Lee,JUNG HOON,LEE,0000-0002-2373-2840,0,0,0,0,0,0,,,0,
Jung Lee,Jung Hoon,Lee,0000-0002-6979-6153,0,0,0,0,0,0,,,0,
Jung Lee,Jung-Hun,Lee,0000-0001-9522-2762,0,0,0,6,0,0,,,6,Polymers
Jung Lee,Mi Jung,Lee,0000-0001-8888-029X,0,2,1,65,0,0,,,67,PLoS ONE
Jung Lee,So-Jung,Lee,0000-0001-5938-9098,0,0,0,1,0,0,,,1,Nutrition Research and Practice
Jung Lee,Eun-Jung ,Lee,0009-0005-3243-2312,0,0,0,0,0,0,,,0,
Jung Lee,Jung Hyun,Lee,0009-0000-1143-0549,0,1,0,0,0,0,,,1,
Jung Lee,Jung Hyun,Lee,0000-0002-6580-6289,0,0,0,2,0,0,,,2,IEEE Access
Jung Lee,Yoo Jung,Lee,0009-0008-7296-8834,0,1,0,2,0,0,,,3,PLOS ONE
Jung Lee,Jung Hyun,Lee,0000-0001-9116-4593,1,1,0,9,0,0,,,10,Journal of Korean Neuropsychiatric Association
Jung Lee,JUNG WOONG,LEE,0000-0003-4212-942X,0,0,0,2,0,0,,,2,Journal of Clinical Medicine
Jung Lee,yoo jung,lee,0000-0002-5487-7831,0,0,0,0,0,0,,,0,
Jung Lee,JUNG YOON,LEE,0009-0008-1865-0462,0,0,0,0,0,0,,,0,
Jung Lee,Hyun Jung,Lee,0000-0001-7768-7697,0,0,0,5,0,0,,,5,Pediatric Emergency Medicine Journal
Jung Lee,Jung Woo,Lee,0009-0009-5424-6800,0,0,2,0,0,0,,,0,
Jung Lee,Jung Yeol,Lee,0009-0009-6682-9202,0,1,0,0,0,0,,,1,
Jung Lee,Jae Jung,Lee,0000-0001-6799-1564,0,0,0,6,0,0,,,6,Journal of Clinical Neurology
Jung Lee,Jung-ah,Lee,0000-0002-9292-3499,0,0,0,1,0,0,,,1,Virology
Jung Lee,Jung Yeop,Lee,0000-0002-4839-8543,0,0,0,0,2,0,,,2,
Jung Lee,Yoon Jung,Lee,0000-0002-5901-8788,0,0,0,0,0,0,,,0,
Jung Lee,Jung-Woon,Lee,0000-0002-3862-6864,0,0,0,2,0,0,,,2,Nuclear Engineering and Technology
Jung Lee,Cheng-Jung,Lee,0000-0003-2090-080X,0,0,0,1,0,0,,,1,Materials
Jung Lee,Jung-eun,Lee,0000-0003-2631-0245,0,1,1,0,0,0,2,,3,
Jung Lee,Chia-Jung,Lee,0000-0002-8394-7683,0,1,3,1,0,0,,,2,Bioinformatics
Jung Lee,Hyun Jung,Lee,0000-0001-9730-557X,0,1,0,11,4,0,,,16,International Journal of Environmental Research and Public Health
Jung Lee,Jung-In,Lee,0000-0002-1528-5251,0,0,0,0,0,0,,,0,
Jung Lee,Eun Jung,Lee,0000-0002-8401-2652,0,1,2,22,0,0,1,,24,Journal of Investigative Dermatology
Jung Lee,Jung-Sook,Lee,0000-0003-0300-8836,0,1,0,9,23,0,,,33,International Journal of Systematic and Evolutionary Microbiology
Jung Lee,Jung-Eun,Lee,0009-0007-6248-5188,0,0,0,0,0,0,,,0,
Jung Lee,Jung Seok,Lee,0009-0000-1517-524X,0,1,0,0,0,0,,,1,
Jung Lee,Jung-bin,Lee,0009-0001-3216-8647,0,0,0,0,0,0,,,0,
Jung Lee,Kuan-Jung,Lee,0000-0003-2968-6096,0,0,0,0,0,0,,,0,
Jung Lee,Tae-Jung,Lee,0000-0002-2608-1115,0,0,0,0,0,0,,,0,
Jung Lee,Jung Yeon,Lee,0009-0003-5880-3818,0,0,0,0,0,0,,,0,
Jung Lee,Kuo-Jung,Lee,0000-0001-6402-2899,0,1,0,3,4,0,,,8,Sustainability
Jung Lee,Jung Hoon,Lee,0009-0000-1412-3245,0,0,0,0,0,0,,,0,
Jung Lee,Hea Jung,Lee,0009-0006-5587-3716,0,0,0,0,0,0,,,0,
Jung Lee,Jung Hyun,Lee,0000-0002-9067-3449,0,0,0,2,0,0,,,2,Journal of Breath Research
Jung Lee,Soo Jung,Lee,0009-0008-3820-8022,0,0,0,0,0,0,,,0,
Jung Lee,Jung-ha,Lee,0000-0002-4185-8420,0,0,0,2,0,0,,,2,Journal of Veterinary Clinics
Jung Lee,SUN JUNG,LEE,0000-0001-8360-8414,0,0,0,0,0,0,,,0,
Jung Lee,Eun-jung,Lee,0009-0003-8849-1907,0,1,0,0,1,0,,,2,
Jung Lee,Jung Sik ,Lee,0009-0009-4881-6440,0,0,0,0,0,0,,,0,
Jung Lee,Jung-a,Lee,0000-0002-1193-6248,0,0,0,0,0,0,,,0,
Jung Lee,Jung Hoon,Lee,0009-0005-2039-7839,0,1,0,0,0,0,,,1,
Jung Lee,Jung Ah,Lee,0009-0007-9693-0788,0,0,0,0,0,0,,,0,
Jung Lee,jung hyeong,lee,0009-0003-3430-4352,0,0,0,0,0,0,,,0,
Jung Lee,Jung Soo,Lee,0000-0002-1901-9436,0,0,2,10,0,0,,,10,Electrophoresis
Jung Lee,Hyun Jung,Lee,0009-0002-9000-6635,0,0,0,0,0,0,,,0,
Jung Lee,Hyun Jung,Lee,0009-0002-0102-4138,0,0,0,0,0,0,,,0,
Jung Lee,Jung Bae,Lee,0009-0007-6196-4523,0,0,0,0,0,0,,,0,
Jung Lee,Eun Jung,Lee,0000-0002-4940-2102,0,1,0,25,0,0,,,26,Finance Research Letters
Jung Lee,Yun Jung,Lee,0009-0008-6030-2314,0,0,0,0,0,0,,,0,
Jung Lee,JUNG YUN,LEE,0009-0006-6348-8754,0,0,0,0,0,0,,,0,
Jung Lee,JUNG EUN,LEE,0009-0001-4144-4973,0,0,0,0,0,0,,,0,
Jung Lee,hyun jung ,lee,0000-0002-9632-379X,0,0,0,0,0,0,,,0,
Jung Lee,Mi Jung,Lee,0009-0007-1659-6178,0,1,0,0,0,0,,,1,
Jung Lee,Hyo Jung,Lee,0009-0001-6722-8267,0,1,0,19,0,0,,,20,Journal of the Korean Statistical Society
Jung Lee,Jung-Min,Lee,0000-0003-1280-5909,0,1,0,0,0,0,,,1,
Jung Lee,Jung Eun,Lee,0000-0002-8770-0901,0,0,0,5,0,0,,,5,BioMed Research International
Jung Lee,Jung-Min,Lee,0009-0006-4908-6361,0,1,0,0,0,0,,,1,
Jung Lee,Jung Yeon,Lee,0000-0001-9967-1952,0,1,1,3,0,0,,,4,International Journal of Chronic Obstructive Pulmonary Disease
Jung Lee,Han-Jung,Lee,0000-0002-1317-1752,0,2,2,1,0,0,,,3,
Jung Lee,Jung min,Lee,0009-0005-7901-5962,0,0,0,0,0,0,,,0,
Jung Lee,Jung Min,Lee,0000-0003-2816-7198,0,0,0,0,0,0,,,0,
Jung Lee,Jung Woo,Lee,0009-0003-8306-6813,0,0,0,0,0,0,,,0,
Jung Lee,AE JUNG,LEE,0000-0001-9326-7705,0,0,0,1,0,0,,,1,Public Health Weekly Report
Jung Lee,jung woon,Lee,0009-0003-4041-6692,0,0,0,0,0,0,,,0,
Jung Lee,Jung Hwa,Lee,0000-0002-3416-1289,0,0,0,0,0,0,,,0,
Jung Lee,JUNG-A,LEE,0000-0003-1881-4347,0,0,0,0,0,0,,,0,
Jung Lee,Jung Eun,Lee,0000-0002-0936-8659,0,0,0,0,0,0,,,0,
Jung Lee,Yi-Jung,Lee,0000-0001-6889-7457,0,0,0,0,0,0,,,0,
Jung Lee,HYUN JUNG,LEE,0009-0000-9682-7544,0,0,0,0,0,0,,,0,
Jung Lee,Mi Jung,Lee,0000-0002-9677-5788,0,0,0,0,2,0,,,2,
Jung Lee,Jung Lin,Lee,0000-0003-1922-2482,1,0,2,2,0,0,,,2,IEEE Transactions on Visualization and Computer Graphics
Jung Lee,Jung-Chieh,Lee,0000-0003-0487-6897,1,2,3,15,0,1,,,18,International Journal of Hyperthermia
Jung Lee,Jung Hyun,Lee,0000-0002-8207-9378,0,3,0,5,1,0,,,9,Molecular and cellular biology
Jung Lee,Yu Jung,Lee,0000-0002-5939-4441,0,0,0,2,0,0,,,2,Journal of Veterinary Clinics
Jung Lee,JUNG HWAN,LEE,0000-0003-2680-6953,0,0,0,0,2,0,,,2,
Jung Lee,JUNG SOO,LEE,0000-0002-1636-1586,0,1,0,0,0,0,,,1,
Jung Lee,Soo Jung,Lee,0000-0002-4717-4871,0,1,0,3,0,0,,,4,Journal of Korean Neuropsychiatric Association
Jung Lee,Eun Jung,Lee,0009-0003-8202-8081,0,1,0,0,0,0,,,1,
Jung Lee,Jung Suk,Lee,0000-0002-5401-1931,0,0,0,0,0,0,,,0,
Jung Lee,Jung Won,Lee,0009-0004-4105-2816,0,1,0,0,0,0,,,1,
Jung Lee,Jung Sung,Lee ,0009-0003-0637-0045,0,0,0,0,0,0,,,0,
Jung Lee,JUNG MIN,LEE,0009-0008-8248-4163,0,1,0,0,0,0,,,1,
Jung Lee,Ki Jung,Lee,0000-0001-9448-0794,0,2,3,23,0,0,,,25,"The Journal of Digital Forensics, Security and Law"
Jung Lee,jung min,lee,0009-0008-3083-2373,0,0,0,0,0,0,,,0,
Jung Lee,Chia-Jung,Lee,0000-0001-5256-309X,0,2,1,7,3,0,1,,13,Journal of Management in Engineering
Jung Lee,Jung-Ju,Lee,0000-0001-7498-5656,0,1,0,16,0,0,1,,18,Journal of Clinical Neurology
Jung Lee,Jung Min,Lee,0000-0002-4670-2521,0,1,0,0,0,0,,,1,
Jung Lee,Jung Hoo,LEE,0009-0007-7983-4241,0,1,0,0,0,0,,,1,
Jung Lee,Jung Shin,Lee,0000-0002-4049-9059,0,0,0,0,0,0,,,0,
Jung Lee,Min Jung,Lee,0009-0008-3305-8897,0,1,0,0,0,0,,,1,
Jung Lee,Jung-Chieh,Lee,0009-0003-0688-0889,0,0,0,0,0,0,,,0,
Jung Lee,YOO-JUNG,LEE,0009-0003-0667-2852,0,1,0,0,0,0,,,1,
Jung Lee,Jung-myun,Lee,0009-0009-1277-6862,0,1,0,0,0,0,,,1,
Jung Lee,Eun-Jung,Lee,0000-0002-1538-7864,0,1,1,0,0,0,2,,3,
Jung Lee,Jung Gu,Lee,0000-0003-3805-0495,0,1,0,70,0,0,,,71,Materials Science and Engineering: A
Jung Lee,Jung Keun,Lee,0000-0003-1711-0698,0,1,0,0,0,0,,,1,
Jung Lee,A JUNG,LEE,0009-0002-3223-391X,0,0,0,0,0,0,,,0,
Jung Lee,Jung Ran,Lee,0000-0001-8463-1149,0,1,1,3,0,0,,,4,Korean Journal of Adult Nursing
Jung Lee,Su Jung,Lee,0000-0002-9774-8079,0,1,0,9,0,0,,,10,International Journal of Molecular Sciences
Jung Lee,Jung In,Lee,0009-0003-4402-7782,0,2,2,0,0,0,,,2,
Jung Lee,Yun Jung,LEE,0000-0003-4088-1896,0,0,0,4,0,0,,,4,Journal of Surgical Research
Jung Lee,Jung Dong,Lee,0009-0002-4101-1059,0,0,0,0,0,0,,,0,
Jung Lee,I-Jung,Lee,0000-0002-3722-8194,0,1,0,17,0,0,1,,19,IEEE Sensors Journal
Jung Lee,Hyo-jung,Lee,0000-0002-4991-0705,0,1,1,5,0,0,,,6,Journal of Preventive Medicine and Public Health
Jung Lee,HYO JUNG,LEE,0009-0001-3002-9416,0,1,0,0,0,0,,,1,
Jung Lee,Jung-Mok,Lee,0009-0006-8066-0851,0,1,0,0,0,0,,,1,
Jung Lee,Soo Jung,Lee,0000-0003-0954-5181,0,1,0,0,0,0,,,1,
Jung Lee,Jung Heon,Lee,0009-0001-6273-5059,0,0,0,2,0,0,,,2,Applied Sciences
Jung Lee,Jung Ha,Lee,0009-0005-0289-468X,0,1,0,0,0,0,,,1,
Jung Lee,Jung-Jin,Lee,0000-0002-7381-5230,0,2,3,47,0,0,,,49,The Journal of Korean Academy of Prosthodontics
Jung Lee,Sei-Jung,Lee,0000-0002-3115-952X,0,0,0,0,0,0,,,0,
Jung Lee,Jung Eun,Lee,0000-0003-1311-152X,0,0,0,0,0,0,,,0,
Jung Lee,SOO JUNG,LEE,0009-0007-8433-9122,0,1,0,0,0,0,,,1,
Jung Lee,Jung Jin,Lee,0000-0002-6048-927X,0,0,0,2,0,0,,,2,Development & Reproduction
Jung Lee,Jung Sun,Lee,0000-0002-9245-8603,0,1,1,3,0,0,,,4,The Journal of Rheumatology
Jung Lee,Jung-Hyun,Lee,0000-0003-0066-6032,0,0,0,13,1,0,,,14,Korean Journal of Plant Taxonomy
Jung Lee,Jung-Hwan,Lee,0009-0002-3203-6481,0,1,0,1,0,0,,,2,"2025 IEEE 14th International Conference on Communications, Circuits and Systems (ICCCAS)"
Jung Lee,Su-Jung,Lee,0009-0006-8881-822X,0,1,0,2,0,0,,,3,Environmental Research Letters
Jung Lee,Jung Hwan,Lee,0000-0003-2412-6874,0,0,0,0,0,0,,,0,
Jung Lee,Jung Woo,Lee,0000-0001-8368-5698,0,0,0,13,0,0,,,13,Applied Sciences
Jung Lee,Jung-Won,Lee,0000-0001-8922-063X,0,0,0,0,0,0,,,0,
Jung Lee,JUNG YEON,LEE,0009-0003-1784-8059,0,1,0,0,0,0,,,1,
Jung Lee,Jung Hwan,Lee,0000-0002-1393-7105,0,0,0,25,0,0,,,25,Korean Journal of Neurotrauma
Jung Lee,Jung Wook,Lee,0000-0003-4166-0315,0,1,0,12,0,0,,,13,Kosin Medical Journal
Jung Lee,Hee Jung,Lee,0000-0001-7825-9475,0,1,0,0,0,0,,,1,
Jung Lee,Jung Ho,Lee,0000-0002-0789-0259,0,0,0,2,0,0,,,2,British Journal of Dermatology
Jung Lee,JUNG HEE,LEE,0009-0005-2625-2702,0,0,0,0,0,0,,,0,
Jung Lee,Hye jung,Lee,0000-0001-5629-6611,0,0,0,0,0,0,,,0,
Jung Lee,PEI JUNG,LEE,0009-0006-5008-2878,0,0,0,0,0,0,,,0,
Jung Lee,Eun-Jung,Lee,0000-0001-9468-9694,0,0,0,34,1,0,,,35,Medicine (United States)
Jung Lee,Jung Soo,Lee,0000-0002-9920-0306,0,2,3,10,3,0,1,,16,Journal of the Korean Society of Costume
Jung Lee,Jung-Nam,Lee,0000-0002-2058-5048,0,1,0,9,0,0,,,10,IEEE Antennas and Wireless Propagation Letters
Jung Lee,Jung Sun,Lee,0000-0001-7141-0945,0,0,0,0,0,0,,,0,
Jung Lee,Hee-jung,LEE,0009-0002-5740-405X,0,1,0,0,1,0,,,2,
Jung Lee,Jung-Hee,Lee,0009-0002-1076-0735,0,0,0,0,0,0,,,0,
Jung Lee,Ho Jung,Lee,0000-0001-9674-6429,0,1,0,5,0,0,,,6,Annals of Dermatology
Jung Lee,Da-Jung,Lee,0000-0001-6449-5039,0,0,0,0,0,0,,,0,
Jung Lee,Sun Jung,Lee,0000-0002-1087-2051,0,0,0,12,0,0,,,12,Journal of Medical Internet Research
Jung Lee,Sook Jung,Lee,0000-0001-9305-7265,0,0,0,1,0,0,,,1,Journal of Korean Medical Science
Jung Lee,Jung won,lee,0000-0002-7945-1618,0,0,0,14,0,0,,,14,Gut and Liver
Jung Lee,Jung-Suk,Lee,0000-0002-3850-8438,0,2,1,3,0,0,,,5,Journal of the Korean Society for Marine Environment & Energy
Jung Lee,EUN JUNG,LEE,0000-0001-6958-0312,0,0,0,0,0,0,,,0,
Jung Lee,Kuo-Jung,Lee,0000-0002-7388-4738,0,0,0,12,9,0,,,21,R Journal
Jung Lee,jung won,lee,0000-0003-1846-3153,0,0,1,1,0,0,,,1,Children
Jung Lee,Jung-soo,Lee,0000-0003-0401-084X,0,1,0,12,0,0,,,13,Journal of Korean Medical Science
Jung Lee,Jung Suk,Lee,0000-0001-5914-4429,0,1,1,1,0,0,,,2,Microsurgery
Jung Lee,Jung-Hun,Lee,0000-0003-0293-0837,0,0,0,2,0,0,,,2,Electronics Letters
Jung Lee,JUNG HOON,LEE,0009-0000-7797-0206,0,0,0,0,0,0,,,0,
Jung Lee,Mu-Jung,Lee,0000-0002-9545-5184,0,0,2,2,0,0,1,,3,Mathematics
Jung Lee,Jung-Rim,Lee,0000-0003-1795-1390,0,0,0,4,0,0,,,4,Atmosphere
Jung Lee,Soo Jung,Lee,0000-0002-2687-545X,0,0,0,0,0,0,,,0,
Jung Lee,Jung-uk,Lee,0000-0001-5638-243X,0,0,0,0,2,0,,,2,
Jung Lee,Jung Lyul,Lee,0000-0001-9410-9725,0,0,0,0,0,0,,,0,
Jung Lee,Meng-Jung,Lee,0009-0004-5422-2466,0,1,0,9,0,0,1,,11,Journal of Neural Engineering
Jung Lee,Jung-Hyung,Lee,0000-0002-3446-0019,0,1,0,6,0,0,,,7,Journal of Power System Engineering
Jung Lee,JUNG HEE,LEE,0009-0002-9329-2497,0,1,0,0,0,0,,,1,
Jung Lee,Hyun Jung,Lee,0000-0002-8473-4989,0,0,0,0,0,0,,,0,
Jung Lee,Jung Seok,Lee,0000-0002-4899-5145,0,0,0,0,0,0,,,0,
Jung Lee,Hyun Jung,Lee,0009-0004-4307-631X,0,1,0,0,0,0,,,1,
Jung Lee,Youn-Jung,Lee,0009-0003-1672-5479,0,0,0,1,0,0,,,1,Healthcare
Jung Lee,Yoo Jung,Lee,0009-0000-0683-9710,0,1,0,0,0,0,,,1,
Jung Lee,Se Jung,Lee,0000-0003-3206-6082,0,0,2,1,0,0,1,,2,Communications Biology
Jung Lee,Jung-Moo,Lee,0000-0002-7798-8905,0,0,0,3,19,0,,,22,Corrosion Science
Jung Lee,In-Jung,Lee,0000-0001-7154-4820,0,0,0,478,0,0,,,478,Frontiers in Plant Science
Jung Lee,Jung-Eun,Lee,0000-0003-4775-7943,0,0,0,12,0,0,,,12,Journal of Geophysical Research: Atmospheres
Jung Lee,Jea Jung,Lee,0009-0001-5937-9073,0,0,3,5,1,0,,,6,International Journal of High Speed Electronics and Systems
Jung Lee,Jung Hyuk,Lee,0000-0002-0840-3352,0,0,0,0,0,0,,,0,
Jung Lee,Jung-Ah,Lee,0009-0003-1278-7912,2,2,2,10,0,9,3,,24,The 5th International Conference on Advanced Railways and Transportation (ICART 2025)
Jung Lee,Jung-Kul,Lee,0000-0001-7384-5301,0,1,0,56,211,0,,,268,Journal of Materials Chemistry A
Jung Lee,Jung Woo,Lee,0000-0003-4705-9248,0,1,0,0,0,0,,,1,
Jung Lee,hyun jung,lee,0000-0003-2764-9339,0,0,0,1,0,0,,,1,Journal of Clinical Medicine
Jung Lee,Jung Ah,Lee,0000-0003-4989-9670,0,0,0,5,0,0,,,5,Alzheimer's Research & Therapy
Jung Lee,Jung Wook,Lee,0000-0002-8461-4741,0,1,1,7,0,0,,,8,Journal of Mechanical Science and Technology
Jung Lee,Jung Min,Lee,0000-0001-9838-0424,0,4,0,12,0,0,,,16,Annals of Surgical Treatment and Research
Jung Lee,Hee Jung,Lee,0000-0002-8663-8624,0,0,0,0,0,0,,,0,
Jung Lee,Jung Hoon,Lee,0000-0002-3592-0566,0,0,0,3,0,0,,,3,Journal of Knot Theory and Its Ramifications
Jung Lee,Jung-Man,Lee,0000-0002-7115-2939,0,0,0,46,0,0,,,46,Anesthesia and analgesia
Jung Lee,Jung Yeon,Lee,0000-0001-6162-5571,0,0,0,0,0,0,,,0,
Jung Lee,Jung-Il,Lee,0000-0001-8143-5513,0,1,0,0,22,0,,,23,
Jung Lee,Da Jung,Lee,0009-0009-2172-3543,0,0,0,0,0,0,,,0,
Jung Lee,JUNG RO,LEE,0000-0002-9596-3330,0,1,0,86,0,0,,,87,Biochemical and Biophysical Research Communications
Jung Lee,Jung Sick,Lee,0000-0001-6292-328X,0,0,0,0,0,0,,,0,
Jung Lee,JUNG EUN,LEE,0009-0009-7608-0709,0,0,0,78,0,0,,,78,Clinical Cancer Research
Jung Lee,Min Jung,Lee,0009-0005-0384-6719,0,1,1,0,0,0,,,1,
Jung Lee,Jung Eun,Lee,0000-0002-1195-3427,0,2,3,34,2,0,1,,39,Nursing Research
Jung Lee,Jung-Hoon,Lee,0000-0002-3306-8728,0,0,0,3,1,0,,,4,IEEE Access
Jung Lee,Jung Eun,Lee,0000-0002-8401-2839,0,1,0,5,0,0,,,6,Clinical and Experimental Pediatrics
Jung Lee,JUNG SU,LEE,0009-0005-3556-0029,0,0,0,0,0,0,,,0,
Jung Lee,Jung A,LEE,0000-0001-6056-2660,0,0,0,0,0,0,,,0,
Jung Lee,Jung Wan,Lee,0000-0002-8885-6385,0,2,0,70,0,0,,,72,"Journal of Asian Finance, Economics and Business"
Jung Lee,Eun Jung,Lee,0009-0000-3829-0371,0,0,0,0,0,0,,,0,
Jung Lee,Jung Hee ,Lee,0009-0005-2831-0515,0,0,0,0,0,0,,,0,
Jung Lee,Jung Young,Lee,0000-0002-6387-6785,0,1,1,1,0,0,,,2,Infection & Chemotherapy
Jung Lee,Jung-Hun,Lee,0000-0002-4016-1787,0,1,1,9,0,0,,,10,Nature Communications
Jung Lee,So Jung,Lee,0000-0001-8253-1953,0,0,0,1,0,0,,,1,Medicine
Jung Lee,Jung-Hyun,Lee,0000-0002-9662-1703,0,4,3,153,190,0,,,347,Journal of Membrane Science
Jung Lee,Jung Bok,Lee,0000-0001-9227-2027,0,2,0,179,10,0,2,,193,Spine
Jung Lee,Jung Su,Lee,0009-0004-6822-4569,0,1,0,0,0,0,,,1,
Jung Lee,Yu Jung,Lee,0000-0003-3442-4816,0,0,0,0,0,0,,,0,
Jung Lee,Jung Min,Lee,0000-0002-5341-8529,0,0,0,2,0,0,,,2,JMIR Medical Informatics
Jung Lee,JUNG HOO,LEE,0009-0008-8934-442X,0,1,0,1,0,0,,,2,Korean Journal of Materials Research
Jung Lee,Jung Woo,Lee,0000-0002-4576-8705,0,0,0,0,0,0,,,0,
Jung Lee,Meng-Jung,Lee,0000-0002-3277-6116,0,0,0,0,0,0,,,0,
Jung Lee,Jung-Hyun,Lee,0000-0003-0787-2592,0,1,0,0,0,0,1,,2,
Jung Lee,Jung-In,Lee,0009-0006-3464-5458,0,0,0,3,0,0,,,3,American Journal of Sports Medicine
Jung Lee,JUNG OH,LEE ,0009-0005-6502-8164,0,1,0,0,0,0,,,1,
Jung Lee,Eun Jung,Lee,0000-0001-5145-4449,0,0,0,11,0,0,,,11,Nature Communications
Jung Lee,Chia-Jung,Lee,0000-0003-1873-7230,0,0,0,2,1,0,,,3,European Surgery
Jung Lee,Jung-Rok,Lee,0000-0002-3518-3965,0,2,2,20,0,0,,,22,Sci. Rep.
Jung Lee,Jung Hyun,Lee,0000-0002-9347-7232,0,0,0,0,0,0,,,0,
Jung Lee,Hyun-Jung,Lee,0000-0001-9304-6021,0,0,0,0,0,0,,,0,
Jung Lee,Yun Jung,Lee,0000-0001-5415-5735,0,0,0,1,0,0,,,1,Annals of Rehabilitation Medicine
Jung Lee,Jung Hyun,Lee,0000-0001-5767-1444,0,0,0,1,1,0,,,2,Membranes
Jung Lee,Jung Moo ,Lee,0000-0001-5245-7799,0,0,0,6,0,0,2,,8,Nature Communications
Jung Lee,JUNG AE,LEE,0000-0001-7286-3890,0,0,0,2,0,0,,,2,Journal of Medical Genetics
Jung Lee,Jung Yeon,Lee,0009-0006-9823-6979,0,1,0,0,0,0,,,1,
Jung Lee,Jung Woo,Lee,0000-0003-1509-6909,0,2,3,9,0,0,,,11,Metabolic Syndrome and Related Disorders
Jung Lee,Jung A,Lee,0009-0001-6753-1477,0,1,0,13,0,0,,,14,Molecules
Jung Lee,Hye Jung,Lee,0000-0002-6046-5120,0,0,0,0,0,0,,,0,
Jung Lee,Jung Myung,Lee,0000-0002-1904-5335,0,7,3,28,0,0,,,35,The American Journal of Cardiology
Jung Lee,Jung Yeon,Lee,0000-0001-7011-620X,0,1,1,3,0,0,,,4,Journal of Korean Medical Science
Jung Lee,Jung Hwa,Lee,0000-0002-4464-3521,0,1,1,12,0,0,,,13,Journal of Clinical Neurology
Jung Lee,Jung soo,Lee,0000-0003-2770-0528,0,0,0,3,0,0,,,3,Remote Sensing
Jung Lee,Hyun-Jung,Lee,0000-0002-7498-0705,0,3,3,45,4,0,,,52,Korean Circulation Journal
Jung Lee,Yoon Jung,Lee,0009-0004-8781-6631,0,0,0,0,0,0,,,0,
Jung Lee,Jung-Woo,Lee,0009-0005-8274-9262,0,0,0,11,0,0,,,11,Fertility and Sterility
Jung Lee,Jung-Bum,Lee,0000-0002-8732-7457,0,1,0,84,0,0,,,85,Biological and Pharmaceutical Bulletin
Jung Lee,Jung-soo,Lee,0000-0001-9281-7111,0,0,0,12,0,0,,,12,Materials Today Communications
Jung Lee,Jung Young,Lee,0000-0003-3112-0366,0,1,1,8,0,0,,,9,International Journal of Production Research
Jung Lee,Sue Jung,Lee,0009-0007-8275-7902,0,1,0,0,0,0,,,1,
Jung Lee,Yi-Jung,Lee,0000-0002-9492-6714,0,0,0,2,0,0,,,2,Journal of Mathematics Teacher Education
Jung Lee,JUNG MIN,LEE,0009-0001-5275-3587,0,1,0,0,0,0,,,1,
Jung Lee,Jung-Won,Lee,0000-0003-2443-7074,0,0,0,0,0,0,,,0,
Jung Lee,Jung-Hee,Lee,0000-0002-6889-9126,0,1,3,15,0,0,,,16,Nucleic Acids Research
Jung Lee,Jung-sug,Lee,0000-0001-8738-6409,0,0,0,47,0,0,,,47,Journal of Nutrition and Health
Jung Lee,Jung Hun,Lee,0000-0002-8001-2671,0,1,0,0,1,0,,,2,
Jung Lee,Mi Jung,Lee,0000-0003-1194-5918,0,1,1,5,0,0,,,6,Minerals
Jung Lee,Jung-Kyu,Lee,0000-0002-0023-1883,0,0,0,5,0,0,,,5,Publications of the Astronomical Society of the Pacific
Jung Lee,MIN JUNG,LEE,0009-0007-8293-2256,0,1,0,0,0,0,,,1,
Jung Lee,Chang-Jung,Lee,0009-0008-9841-1874,0,1,0,0,0,0,,,1,
Jung Lee,Jung-Ting,Lee,0000-0002-8638-2235,0,0,0,0,0,0,,,0,
Jung Lee,Tae-Jung,Lee,0000-0002-4175-770X,0,1,0,4,0,0,,,5,Journal of Korean Society for Atmospheric Environment
Jung Lee,Min Jung,Lee,0000-0001-8293-3418,0,1,3,37,0,3,,,41,PCT
Jung Lee,Han-Jung,Lee,0000-0001-8990-5743,0,2,0,9,1,0,1,,13,Pest Management Science
Jung Lee,Jung Woo,Lee,0000-0002-1276-330X,0,0,0,3,0,0,,,3,Industrial Crops and Products
