input,given,family,orcid,title,funder,identifier,award,start,end
"Laczek-Johnson,C.",Daniel C.,Johnson,0000-0001-9699-3112,,,,,,
"Laczek-Johnson,C.",Paula C,Johnson,0000-0002-6750-9843,,,,,,
"Laczek-Johnson,C.",Carolyn C,Johnson,0000-0002-3903-8458,,,,,,
"Laczek-Johnson,C.",Micah C.,Johnson,0000-0003-0977-6449,,,,,,
"Laczek-Johnson,C.",C. Douglas,Johnson,0009-0009-7925-3943,,,,,,
"Laczek-Johnson,C.",Zachary C,Johnson,0009-0003-3306-3286,,,,,,
"Laczek-Johnson,C.",Renee C.,Johnson,0000-0001-5725-8502,,,,,,
"Laczek-Johnson,C.",C. Dan,Johnson,0000-0001-8184-531X,,,,,,
"Laczek-Johnson,C.",C. Douglas,Johnson,0000-0003-1072-593X,,,,,,
"Laczek-Johnson,C.",Frango C.,Johnson,0000-0002-2136-0641,,,,,,
"Laczek-Johnson,C.",David C,Johnson,0000-0003-2595-6765,,,,,,
"Laczek-Johnson,C.",Cole C,Johnson,0009-0005-4523-0736,,,,,,
"Laczek-Johnson,C.",Andrea C.,Johnson,0000-0002-6470-8927,Examining How Graphic Cigarette Warnings Motivate Young Adults to Quit Smoking,National Cancer Institute,http://dx.doi.org/10.13039/100000054,F31CA239567,,
"Laczek-Johnson,C.",Robert C.,Johnson,0009-0006-3260-066X,,,,,,
"Laczek-Johnson,C.",Carla C.,Johnson,0000-0001-8757-1268,Utah's Improving Science Teacher Quality Initiative,U.S. Department of Education,,R305M050005,2005,2008
"Laczek-Johnson,C.",Carla C.,Johnson,0000-0001-8757-1268,INSPIRE: Urban Teaching Fellows Program,U.S. Department of Education,,R305A090145,2009,2012
"Laczek-Johnson,C.",Curtis C,Johnson,0000-0001-9556-9483,,,,,,
"Laczek-Johnson,C.",Loretta C,Johnson,0000-0002-8989-7779,,,,,,
"Laczek-Johnson,C.",Demian C.,Johnson,0000-0002-0098-5562,,,,,,
"Laczek-Johnson,C.",Claudia C,Johnson,0000-0002-7774-8266,,,,,,
"Laczek-Johnson,C.",Anna C.,Johnson,0009-0006-7953-2027,,,,,,
"Laczek-Johnson,C.",Natasha C,Johnson,0000-0002-4475-7334,,,,,,
"Laczek-Johnson,C.",Adelaide C.,Johnson,0009-0003-8431-5391,,,,,,
"Laczek-Johnson,C.",C. Reagan,Johnson,0009-0004-2170-4370,,,,,,
"Laczek-Johnson,C.",Wiley C,Johnson III,0000-0003-0254-3220,,,,,,
"Park,I.",Bom I,Park,0000-0001-6253-4831,,,,,,
"Park,I.",I Seul,Park,0000-0001-6546-5456,,,,,,
"Park,I.",I Nae,Park,0000-0002-6109-5213,,,,,,
"Park,I.",Song I,Park,0000-0002-9536-6376,,,,,,
"Park,I.",Cho-I,Park,0000-0002-0939-8225,,,,,,
"Park,I.",Song I,Park,0000-0003-2121-7519,,,,,,
"Park,I.",CHO I,PARK,0000-0003-4032-7246,,,,,,
"Park,I.",Sang I.,Park,0000-0002-2765-1546,,,,,,
"Cruz,C.",C,Cruz-Vázquez,0000-0003-3267-1311,,,,,,
"Cruz,C.",Juan C,Cruz,0000-0001-7240-8230,,,,,,
"Cruz,C.",Rafaela C.,Cruz,0000-0003-2078-3367,,,,,,
"Cruz,C.",SILVIA BALDEON C.,cruz,0000-0001-6955-3592,,,,,,
"Cruz,C.",Estrella C.,Cruz-Mazo,0000-0003-4668-1801,,,,,,
"Cruz,C.",Pompe C.,Sta. Cruz,0000-0003-4058-885X,,,,,,
"Cruz,C.",Sara C.,Santos Cruz,0000-0002-1518-9446,"Prize SONAE 2002 “Best National Graduates with High Potencial”, Grupo SONAE, Porto.",SONAE,,,2002,2002
"Cruz,C.",Sara C.,Santos Cruz,0000-0002-1518-9446,Post-Doctoral Grant Award,"Science and Technology Foundation, Ministry of Education and Science",http://dx.doi.org/10.13039/501100001871,,2015,
"Cruz,C.",Sara C.,Santos Cruz,0000-0002-1518-9446,PhD Grant Award,"Science and Technology Foundation, Ministry of Education and Science",http://dx.doi.org/10.13039/501100001871,,2011,2014
"Cruz,C.",Sara C.,Santos Cruz,0000-0002-1518-9446,"It's all It’s All About Productivity: contributions to the understanding of the sluggish performance of the Portuguese economy”, FCT (PTDC/EGE-ECO/29822/2017)",Fundação para a Ciência e a Tecnologia,http://dx.doi.org/10.13039/501100001871,FCT (PTDC/EGE-ECO/29822/2017),2019,2021
"Cruz,C.",Sara C.,Santos Cruz,0000-0002-1518-9446,"European Union Project “CAPRIGHT - Resources, Rights and Capabilities – in search of social foundations for Europe”, Integrated Project FP6",European Commission,http://dx.doi.org/10.13039/501100000780,,2007,2010
"Cruz,C.",E. C.,Breña-Cruz,0000-0001-9185-966X,,,,,,
"Cruz,C.",JONATHAN C.,CRUZ RENGIFO,0000-0002-4291-7760,,,,,,
"Cruz,C.",Danilo C.,Dela Cruz,0000-0002-2231-5164,,,,,,
"Cruz,C.",Juan C.,Cruz-Victoria,0000-0002-0358-1985,,,,,,
"Cruz,C.",Betsy C.,Vázquez-Cruz,0009-0001-9839-3118,,,,,,
"Cruz,C.",Julio C.,Cruz-Ortiz,0009-0001-0002-0293,,,,,,
"Cruz,C.",ANGELES C.,TECALCO-CRUZ,0000-0001-9199-3834,,,,,,
"Cruz,C.",Mario C.,Cruz-Mercado,0009-0007-1365-3237,,,,,,
"Cruz,C.",C. Roberto,Cruz-Cabrera,0009-0000-7388-2989,AYUDAS PARA LA FORMACIÓN DE PROFESORADO UNIVERSITARIO FPU,European Research Council,https://ror.org/0472cxd90,,2023,2027
"Cruz,C.",Raúl C.,Cruz-Gómez,0000-0002-2815-4496,,,,,,
"Cruz,C.",Mary Ann C. Dela ,Cruz,0009-0002-9873-6771,,,,,,
"Cruz,C.",Sheila C S,Janota Cruz,0000-0002-4905-518X,,,,,,
"Cruz,C.",Ana C,de la Cruz Calleja,0009-0002-6023-3474,,,,,,
"Cruz,C.",Jose C.,Martin de la Cruz,0000-0002-0486-5744,,,,,,
"Cruz,C.",Artur M. C.,Brito da Cruz,0000-0001-6136-587X,,,,,,
"Cruz,C.","DIAS, E. S. C.;Dias, E. da S.C;DIAS, EMERSON DA SILVA CRUZ",Silva Cruz Dias,0009-0002-4538-3095,,,,,,
"Pearson,J. A.",J. Stephen,Pearson,0000-0002-6252-2432,,,,,,
"Pearson,J. A.",J Michael,Pearson,0000-0002-1000-4107,,,,,,
"Pearson,J. A.",Scott J.,Pearson,0000-0003-3676-2050,,,,,,
"Smith,J. L.",Richard J.,Smith,0000-0002-0450-2919,,,,,,
"Smith,J. L.",Cameron J.,Smith,0000-0002-7091-150X,,,,,,
"Smith,J. L.",Rhian J.,Smith,0000-0003-2836-0246,,,,,,
"Smith,J. L.",J. Andrew C.,Smith,0000-0001-9188-0258,,,,,,
"Smith,J. L.",J. Allyn,Smith,0000-0002-6261-4601,,,,,,
"Smith,J. L.",J,Smith,0000-0001-9448-8470,,,,,,
"Smith,J. L.",Peter J S,Smith,0000-0003-4400-6853,,,,,,
"Smith,J. L.",Carolyn J,Smith,0000-0002-6873-3089,,,,,,
"Smith,J. L.",David J,Smith,0000-0002-9256-4967,,,,,,
"Smith,J. L.",Alan J ,Smith,0000-0001-7868-8501,,,,,,
"Smith,J. L.",Oliver J.,Smith,0000-0003-3687-9398,,,,,,
"Smith,J. L.",Michelle J,Smith,0000-0001-8249-4195,,,,,,
"Smith,J. L.",J. R.,Smith,0000-0003-4475-7446,,,,,,
"Smith,J. L.",Madelyn J.,Smith,0009-0001-2849-2831,,,,,,
"Smith,J. L.",Roger J,Smith,0000-0002-3595-781X,,,,,,
"Smith,J. L.",Marissa J.,Smith,0000-0001-6694-6884,,,,,,
"Smith,J. L.",JAMES J,SMITH,0000-0002-5864-0022,,,,,,
"Smith,J. L.",Nicole J,Smith,0000-0001-7336-9368,,,,,,
"Smith,J. L.",Steven J,Smith,0000-0002-3369-4534,,,,,,
"Smith,J. L.",Madeleine J,Smith,0000-0003-2501-2772,,,,,,
"Smith,J. L.",Richard J,Smith,0000-0001-9240-8967,,,,,,
"Smith,J. L.",Timothy J.,Smith,0000-0001-5458-4951,,,,,,
"Smith,J. L.",Daniel J.,Smith,0000-0001-6294-1269,,,,,,
"Smith,J. L.",Raymond J,Smith,0000-0001-7090-5532,,,,,,
"Smith,J. L.",J. Sybylla,Smith,0009-0005-8784-8796,,,,,,
"Smith,J. L.",Pamela J,Smith,0000-0001-9724-0788,,,,,,
"Smith,J. L.",Paul J,Smith,0000-0001-9800-0620,,,,,,
"Smith,J. L.",J Stanley,Smith,0000-0001-9966-2618,,,,,,
"Smith,J. L.",J. Spencer,Smith,0000-0003-0745-6679,,,,,,
"Smith,J. L.",Simon J,Smith,0000-0001-9707-2155,,,,,,
"Smith,J. L.",Richard J,Smith,0000-0001-7998-2649,Reliable Estimation and Inference for Moment Condition Models,Leverhulme Major Research Fellowship,http://dx.doi.org/10.13039/501100000275,,2003,2006
